@relation breakpoint

@attribute people_around numeric
@attribute is_talking {true, false}
@attribute activity {MOVING, STILL}
@attribute people_using_smartphone {true, false}
@attribute breakpoint {true, false}

@data
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
0,		?,		?,		?,		true
